keperluan,izin,cluster
ib perdana dan bertemu orang tua,IB,4
libur natal dan tahun baru,IB,0
libur uas semester gasal 2019/2020,IB,0
melakukan proyek akhir 1,IB,0
bertemu dengan orang tua,IB,4
lockdown kampus,IB,0
membantu orang tua pindahan,IB,0
membantu orang tua pindahan rumah,IB,0
menjemput laptop,IB,0
natal & tahun baru,IB,0
membantu orangtua packing barang pindahan,IB,0
membantu orang tua pindahan rumah,IB,0
melanjutkan benahi rumah,IB,0
merayakan hari paskah,IB,0
mudik lebaran,IB,0
acara keluarga dan bertemu dengan orang tua,IB,4
berkunjung ke tempat saudara,IB,0
exit clearence,IB,0
ib perdana dan bertemu orang tua,IB,4
libur natal dan tahun baru,IB,0
libur uas semester gasal 2019/2020,IB,0
melakukan proyek akhir 1,IB,0
bertemu dengan orang tua,IB,4
lockdown kampus,IB,0
membantu orang tua pindahan,IB,0
membantu orang tua pindahan rumah,IB,0
menjemput laptop,IB,0
natal & tahun baru,IB,0
membantu orangtua packing barang pindahan,IB,0
membantu orang tua pindahan rumah,IB,0
melanjutkan benahi rumah,IB,0
merayakan hari paskah,IB,0
mudik lebaran,IB,0
acara keluarga dan bertemu dengan orang tua,IB,4
berkunjung ke tempat saudara,IB,0
exit clearence,IB,0
ib perdana dan bertemu orang tua,IB,4
libur natal dan tahun baru,IB,0
libur uas semester gasal 2019/2020,IB,0
melakukan proyek akhir 1,IB,0
bertemu dengan orang tua,IB,4
lockdown kampus,IB,0
membantu orang tua pindahan,IB,0
membantu orang tua pindahan rumah,IB,0
menjemput laptop,IB,0
natal & tahun baru,IB,0
membantu orangtua packing barang pindahan,IB,0
membantu orang tua pindahan rumah,IB,0
melanjutkan benahi rumah,IB,0
merayakan hari paskah,IB,0
mudik lebaran,IB,0
acara keluarga dan bertemu dengan orang tua,IB,4
berkunjung ke tempat saudara,IB,0
exit clearence,IB,0
ib perdana dan bertemu orang tua,IB,4
libur natal dan tahun baru,IB,0
libur uas semester gasal 2019/2020,IB,0
melakukan proyek akhir 1,IB,0
bertemu dengan orang tua,IB,4
lockdown kampus,IB,0
membantu orang tua pindahan,IB,0
membantu orang tua pindahan rumah,IB,0
menjemput laptop,IB,0
natal & tahun baru,IB,0
membantu orangtua packing barang pindahan,IB,0
membantu orang tua pindahan rumah,IB,0
melanjutkan benahi rumah,IB,0
merayakan hari paskah,IB,0
mudik lebaran,IB,0
acara keluarga dan bertemu dengan orang tua,IB,4
berkunjung ke tempat saudara,IB,0
exit clearence,IB,0
ib perdana dan bertemu orang tua,IB,4
libur natal dan tahun baru,IB,0
libur uas semester gasal 2019/2020,IB,0
melakukan proyek akhir 1,IB,0
bertemu dengan orang tua,IB,4
lockdown kampus,IB,0
membantu orang tua pindahan,IB,0
membantu orang tua pindahan rumah,IB,0
menjemput laptop,IB,0
natal & tahun baru,IB,0
membantu orangtua packing barang pindahan,IB,0
membantu orang tua pindahan rumah,IB,0
melanjutkan benahi rumah,IB,0
merayakan hari paskah,IB,0
mudik lebaran,IB,0
acara keluarga dan bertemu dengan orang tua,IB,4
berkunjung ke tempat saudara,IB,0
exit clearence,IB,0
ib perdana dan bertemu orang tua,IB,4
libur natal dan tahun baru,IB,0
libur uas semester gasal 2019/2020,IB,0
melakukan proyek akhir 1,IB,0
bertemu dengan orang tua,IB,4
lockdown kampus,IB,0
membantu orang tua pindahan,IB,0
membantu orang tua pindahan rumah,IB,0
menjemput laptop,IB,0
natal & tahun baru,IB,0
membantu orangtua packing barang pindahan,IB,0
membantu orang tua pindahan rumah,IB,0
melanjutkan benahi rumah,IB,0
merayakan hari paskah,IB,0
mudik lebaran,IB,0
acara keluarga dan bertemu dengan orang tua,IB,4
berkunjung ke tempat saudara,IB,0
exit clearence,IB,0
ib perdana dan bertemu orang tua,IB,4
libur natal dan tahun baru,IB,0
libur uas semester gasal 2019/2020,IB,0
melakukan proyek akhir 1,IB,0
bertemu dengan orang tua,IB,4
lockdown kampus,IB,0
membantu orang tua pindahan,IB,0
membantu orang tua pindahan rumah,IB,0
menjemput laptop,IB,0
natal & tahun baru,IB,0
membantu orangtua packing barang pindahan,IB,0
membantu orang tua pindahan rumah,IB,0
melanjutkan benahi rumah,IB,0
merayakan hari paskah,IB,0
mudik lebaran,IB,0
acara keluarga dan bertemu dengan orang tua,IB,4
berkunjung ke tempat saudara,IB,0
exit clearence,IB,0
ib perdana dan bertemu orang tua,IB,4
libur natal dan tahun baru,IB,0
libur uas semester gasal 2019/2020,IB,0
melakukan proyek akhir 1,IB,0
bertemu dengan orang tua,IB,4
lockdown kampus,IB,0
membantu orang tua pindahan,IB,0
membantu orang tua pindahan rumah,IB,0
menjemput laptop,IB,0
natal & tahun baru,IB,0
membantu orangtua packing barang pindahan,IB,0
membantu orang tua pindahan rumah,IB,0
melanjutkan benahi rumah,IB,0
merayakan hari paskah,IB,0
mudik lebaran,IB,0
acara keluarga dan bertemu dengan orang tua,IB,4
berkunjung ke tempat saudara,IB,0
exit clearence,IB,0
berobat dan bertemu orangtua,IB,1
libur natal dan tahun baru,IB,0
libur akhir semester,IB,0
"lockdown kampus_x000d_
antisipasi covid-19",IB,0
libur akhir semester,IB,0
bertemu orangtua (permintaan orangtua mahasiswa),IB,1
bertemu orangtua,IB,1
memperbaiki laptop,IB,0
bertemu orangtua,IB,1
libur paskah,IB,0
libur lebaran,IB,0
bertemu orangtua_x000d_,IB,0
acara keluarga,IB,2
libur idul adha,IB,0
exit clearance meninggalkan asrama dan bertemu dengan keluarga dirumah,IB,0
berobat dan bertemu orangtua,IB,1
libur natal dan tahun baru,IB,0
libur akhir semester,IB,0
"lockdown kampus_x000d_
antisipasi covid-19",IB,0
libur akhir semester,IB,0
bertemu orangtua (permintaan orangtua mahasiswa),IB,1
bertemu orangtua,IB,1
memperbaiki laptop,IB,0
bertemu orangtua,IB,1
libur paskah,IB,0
libur lebaran,IB,0
bertemu orangtua_x000d_,IB,0
acara keluarga,IB,2
libur idul adha,IB,0
exit clearance meninggalkan asrama dan bertemu dengan keluarga dirumah,IB,0
berobat dan bertemu orangtua,IB,1
libur natal dan tahun baru,IB,0
libur akhir semester,IB,0
"lockdown kampus_x000d_
antisipasi covid-19",IB,0
libur akhir semester,IB,0
bertemu orangtua (permintaan orangtua mahasiswa),IB,1
bertemu orangtua,IB,1
memperbaiki laptop,IB,0
bertemu orangtua,IB,1
libur paskah,IB,0
libur lebaran,IB,0
bertemu orangtua_x000d_,IB,0
acara keluarga,IB,2
libur idul adha,IB,0
exit clearance meninggalkan asrama dan bertemu dengan keluarga dirumah,IB,0
berobat dan bertemu orangtua,IB,1
libur natal dan tahun baru,IB,0
libur akhir semester,IB,0
"lockdown kampus_x000d_
antisipasi covid-19",IB,0
libur akhir semester,IB,0
bertemu orangtua (permintaan orangtua mahasiswa),IB,1
bertemu orangtua,IB,1
memperbaiki laptop,IB,0
bertemu orangtua,IB,1
libur paskah,IB,0
libur lebaran,IB,0
bertemu orangtua_x000d_,IB,0
acara keluarga,IB,2
libur idul adha,IB,0
exit clearance meninggalkan asrama dan bertemu dengan keluarga dirumah,IB,0
berobat dan bertemu orangtua,IB,1
libur natal dan tahun baru,IB,0
libur akhir semester,IB,0
"lockdown kampus_x000d_
antisipasi covid-19",IB,0
libur akhir semester,IB,0
bertemu orangtua (permintaan orangtua mahasiswa),IB,1
bertemu orangtua,IB,1
memperbaiki laptop,IB,0
bertemu orangtua,IB,1
libur paskah,IB,0
libur lebaran,IB,0
bertemu orangtua_x000d_,IB,0
acara keluarga,IB,2
libur idul adha,IB,0
exit clearance meninggalkan asrama dan bertemu dengan keluarga dirumah,IB,0
berobat dan bertemu orangtua,IB,1
libur natal dan tahun baru,IB,0
libur akhir semester,IB,0
"lockdown kampus_x000d_
antisipasi covid-19",IB,0
libur akhir semester,IB,0
bertemu orangtua (permintaan orangtua mahasiswa),IB,1
bertemu orangtua,IB,1
memperbaiki laptop,IB,0
bertemu orangtua,IB,1
libur paskah,IB,0
libur lebaran,IB,0
bertemu orangtua_x000d_,IB,0
acara keluarga,IB,2
libur idul adha,IB,0
exit clearance meninggalkan asrama dan bertemu dengan keluarga dirumah,IB,0
berobat dan bertemu orangtua,IB,1
libur natal dan tahun baru,IB,0
libur akhir semester,IB,0
"lockdown kampus_x000d_
antisipasi covid-19",IB,0
libur akhir semester,IB,0
bertemu orangtua (permintaan orangtua mahasiswa),IB,1
bertemu orangtua,IB,1
memperbaiki laptop,IB,0
bertemu orangtua,IB,1
libur paskah,IB,0
libur lebaran,IB,0
bertemu orangtua_x000d_,IB,0
acara keluarga,IB,2
libur idul adha,IB,0
exit clearance meninggalkan asrama dan bertemu dengan keluarga dirumah,IB,0
berobat dan bertemu orangtua,IB,1
libur natal dan tahun baru,IB,0
libur akhir semester,IB,0
"lockdown kampus_x000d_
antisipasi covid-19",IB,0
libur akhir semester,IB,0
bertemu orangtua (permintaan orangtua mahasiswa),IB,1
bertemu orangtua,IB,1
memperbaiki laptop,IB,0
bertemu orangtua,IB,1
libur paskah,IB,0
libur lebaran,IB,0
bertemu orangtua_x000d_,IB,0
acara keluarga,IB,2
libur idul adha,IB,0
exit clearance meninggalkan asrama dan bertemu dengan keluarga dirumah,IB,0
berobat dan bertemu orangtua,IB,1
libur natal dan tahun baru,IB,0
libur akhir semester,IB,0
"lockdown kampus_x000d_
antisipasi covid-19",IB,0
libur akhir semester,IB,0
bertemu orangtua (permintaan orangtua mahasiswa),IB,1
bertemu orangtua,IB,1
memperbaiki laptop,IB,0
bertemu orangtua,IB,1
libur paskah,IB,0
libur lebaran,IB,0
bertemu orangtua_x000d_,IB,0
acara keluarga,IB,2
libur idul adha,IB,0
exit clearance meninggalkan asrama dan bertemu dengan keluarga dirumah,IB,0
berobat dan bertemu orangtua,IB,1
libur natal dan tahun baru,IB,0
libur akhir semester,IB,0
"lockdown kampus_x000d_
antisipasi covid-19",IB,0
libur akhir semester,IB,0
bertemu orangtua (permintaan orangtua mahasiswa),IB,1
bertemu orangtua,IB,1
memperbaiki laptop,IB,0
bertemu orangtua,IB,1
libur paskah,IB,0
libur lebaran,IB,0
bertemu orangtua_x000d_,IB,0
acara keluarga,IB,2
libur idul adha,IB,0
exit clearance meninggalkan asrama dan bertemu dengan keluarga dirumah,IB,0
berobat dan bertemu orangtua,IB,1
libur natal dan tahun baru,IB,0
libur akhir semester,IB,0
"lockdown kampus_x000d_
antisipasi covid-19",IB,0
libur akhir semester,IB,0
bertemu orangtua (permintaan orangtua mahasiswa),IB,1
bertemu orangtua,IB,1
memperbaiki laptop,IB,0
bertemu orangtua,IB,1
libur paskah,IB,0
libur lebaran,IB,0
bertemu orangtua_x000d_,IB,0
acara keluarga,IB,2
libur idul adha,IB,0
exit clearance meninggalkan asrama dan bertemu dengan keluarga dirumah,IB,0
ib perdana.,IB,0
melayat keluarga alex hutapea yang orangtuanya baru saja meninggal,IB,0
berobat .,IB,0
libur natal dan tahun baru.,IB,0
libur akhir semester 1,IB,0
melayat keluarga yang meninggal,IB,0
berobat.,IB,0
memperbaiki laptop,IB,0
bertemu keluarga,IB,2
bertemu keluarga,IB,2
pembelajaran jarak jauh,IB,0
control kesahatan,IB,0
membeli laptop ke medan,IB,0
ib perdana.,IB,0
melayat keluarga alex hutapea yang orangtuanya baru saja meninggal,IB,0
berobat .,IB,0
libur natal dan tahun baru.,IB,0
libur akhir semester 1,IB,0
melayat keluarga yang meninggal,IB,0
berobat.,IB,0
memperbaiki laptop,IB,0
bertemu keluarga,IB,2
bertemu keluarga,IB,2
pembelajaran jarak jauh,IB,0
control kesahatan,IB,0
membeli laptop ke medan,IB,0
ib perdana.,IB,0
melayat keluarga alex hutapea yang orangtuanya baru saja meninggal,IB,0
berobat .,IB,0
libur natal dan tahun baru.,IB,0
libur akhir semester 1,IB,0
melayat keluarga yang meninggal,IB,0
berobat.,IB,0
memperbaiki laptop,IB,0
bertemu keluarga,IB,2
bertemu keluarga,IB,2
pembelajaran jarak jauh,IB,0
control kesahatan,IB,0
membeli laptop ke medan,IB,0
ib perdana.,IB,0
melayat keluarga alex hutapea yang orangtuanya baru saja meninggal,IB,0
berobat .,IB,0
libur natal dan tahun baru.,IB,0
libur akhir semester 1,IB,0
melayat keluarga yang meninggal,IB,0
berobat.,IB,0
memperbaiki laptop,IB,0
bertemu keluarga,IB,2
bertemu keluarga,IB,2
pembelajaran jarak jauh,IB,0
control kesahatan,IB,0
membeli laptop ke medan,IB,0
ib perdana.,IB,0
melayat keluarga alex hutapea yang orangtuanya baru saja meninggal,IB,0
berobat .,IB,0
libur natal dan tahun baru.,IB,0
libur akhir semester 1,IB,0
melayat keluarga yang meninggal,IB,0
berobat.,IB,0
memperbaiki laptop,IB,0
bertemu keluarga,IB,2
bertemu keluarga,IB,2
pembelajaran jarak jauh,IB,0
control kesahatan,IB,0
membeli laptop ke medan,IB,0
ib perdana.,IB,0
melayat keluarga alex hutapea yang orangtuanya baru saja meninggal,IB,0
berobat .,IB,0
libur natal dan tahun baru.,IB,0
libur akhir semester 1,IB,0
melayat keluarga yang meninggal,IB,0
berobat.,IB,0
memperbaiki laptop,IB,0
bertemu keluarga,IB,2
bertemu keluarga,IB,2
pembelajaran jarak jauh,IB,0
control kesahatan,IB,0
membeli laptop ke medan,IB,0
ib perdana.,IB,0
melayat keluarga alex hutapea yang orangtuanya baru saja meninggal,IB,0
berobat .,IB,0
libur natal dan tahun baru.,IB,0
libur akhir semester 1,IB,0
melayat keluarga yang meninggal,IB,0
berobat.,IB,0
memperbaiki laptop,IB,0
bertemu keluarga,IB,2
bertemu keluarga,IB,2
pembelajaran jarak jauh,IB,0
control kesahatan,IB,0
membeli laptop ke medan,IB,0
ib perdana dan bertemu orang tua,IB,4
libur natal dan tahun baru,IB,0
libur uas semester gasal 2019/2020,IB,0
pengumpulan data yang di perlukan untuk mata kuliah proyek akhir 1,IB,0
pembelajaran jarak jauh dan social distancing corona virus,IB,0
menemani dan membantu kakak yang sedang sakit di rumah sakit royal prima medan.,IB,0
libur nasional: natal dan tahun baru,IB,0
rindu rumah,IB,0
merayakan awal puasa bersama keluarga dan keluarga besar alumni sma.,IB,0
libur paskah,IB,0
libur lebaran,IB,0
menemui orang tua,IB,4
acara keluarga,IB,2
mencari data/survey lokasi untuk keperluan ta,IB,0
martumpol anggota keluarga kandung(kakak kandung),IB,0
acara keluarga dan mengantar anggota keluarga ke bandara silangit.,IB,0
exot clearance,IB,0
ib perdana dan bertemu orang tua,IB,4
libur natal dan tahun baru,IB,0
libur uas semester gasal 2019/2020,IB,0
pengumpulan data yang di perlukan untuk mata kuliah proyek akhir 1,IB,0
pembelajaran jarak jauh dan social distancing corona virus,IB,0
menemani dan membantu kakak yang sedang sakit di rumah sakit royal prima medan.,IB,0
libur nasional: natal dan tahun baru,IB,0
rindu rumah,IB,0
merayakan awal puasa bersama keluarga dan keluarga besar alumni sma.,IB,0
libur paskah,IB,0
libur lebaran,IB,0
menemui orang tua,IB,4
acara keluarga,IB,2
mencari data/survey lokasi untuk keperluan ta,IB,0
martumpol anggota keluarga kandung(kakak kandung),IB,0
acara keluarga dan mengantar anggota keluarga ke bandara silangit.,IB,0
exot clearance,IB,0
ib perdana dan bertemu orang tua,IB,4
libur natal dan tahun baru,IB,0
libur uas semester gasal 2019/2020,IB,0
pengumpulan data yang di perlukan untuk mata kuliah proyek akhir 1,IB,0
pembelajaran jarak jauh dan social distancing corona virus,IB,0
menemani dan membantu kakak yang sedang sakit di rumah sakit royal prima medan.,IB,0
libur nasional: natal dan tahun baru,IB,0
rindu rumah,IB,0
merayakan awal puasa bersama keluarga dan keluarga besar alumni sma.,IB,0
libur paskah,IB,0
libur lebaran,IB,0
menemui orang tua,IB,4
acara keluarga,IB,2
mencari data/survey lokasi untuk keperluan ta,IB,0
martumpol anggota keluarga kandung(kakak kandung),IB,0
acara keluarga dan mengantar anggota keluarga ke bandara silangit.,IB,0
exot clearance,IB,0
ib perdana dan bertemu orang tua,IB,4
libur natal dan tahun baru,IB,0
libur uas semester gasal 2019/2020,IB,0
pengumpulan data yang di perlukan untuk mata kuliah proyek akhir 1,IB,0
pembelajaran jarak jauh dan social distancing corona virus,IB,0
menemani dan membantu kakak yang sedang sakit di rumah sakit royal prima medan.,IB,0
libur nasional: natal dan tahun baru,IB,0
rindu rumah,IB,0
merayakan awal puasa bersama keluarga dan keluarga besar alumni sma.,IB,0
libur paskah,IB,0
libur lebaran,IB,0
menemui orang tua,IB,4
acara keluarga,IB,2
mencari data/survey lokasi untuk keperluan ta,IB,0
martumpol anggota keluarga kandung(kakak kandung),IB,0
acara keluarga dan mengantar anggota keluarga ke bandara silangit.,IB,0
exot clearance,IB,0
ib perdana dan bertemu orang tua,IB,4
libur natal dan tahun baru,IB,0
libur uas semester gasal 2019/2020,IB,0
pengumpulan data yang di perlukan untuk mata kuliah proyek akhir 1,IB,0
pembelajaran jarak jauh dan social distancing corona virus,IB,0
menemani dan membantu kakak yang sedang sakit di rumah sakit royal prima medan.,IB,0
libur nasional: natal dan tahun baru,IB,0
rindu rumah,IB,0
merayakan awal puasa bersama keluarga dan keluarga besar alumni sma.,IB,0
libur paskah,IB,0
libur lebaran,IB,0
menemui orang tua,IB,4
acara keluarga,IB,2
mencari data/survey lokasi untuk keperluan ta,IB,0
martumpol anggota keluarga kandung(kakak kandung),IB,0
acara keluarga dan mengantar anggota keluarga ke bandara silangit.,IB,0
exot clearance,IB,0
ib perdana dan bertemu orang tua,IB,4
libur natal dan tahun baru,IB,0
libur uas semester gasal 2019/2020,IB,0
pengumpulan data yang di perlukan untuk mata kuliah proyek akhir 1,IB,0
pembelajaran jarak jauh dan social distancing corona virus,IB,0
menemani dan membantu kakak yang sedang sakit di rumah sakit royal prima medan.,IB,0
libur nasional: natal dan tahun baru,IB,0
rindu rumah,IB,0
merayakan awal puasa bersama keluarga dan keluarga besar alumni sma.,IB,0
libur paskah,IB,0
libur lebaran,IB,0
menemui orang tua,IB,4
acara keluarga,IB,2
mencari data/survey lokasi untuk keperluan ta,IB,0
martumpol anggota keluarga kandung(kakak kandung),IB,0
acara keluarga dan mengantar anggota keluarga ke bandara silangit.,IB,0
exot clearance,IB,0
ib perdana dan bertemu orang tua,IB,4
libur natal dan tahun baru,IB,0
libur uas semester gasal 2019/2020,IB,0
pengumpulan data yang di perlukan untuk mata kuliah proyek akhir 1,IB,0
pembelajaran jarak jauh dan social distancing corona virus,IB,0
menemani dan membantu kakak yang sedang sakit di rumah sakit royal prima medan.,IB,0
libur nasional: natal dan tahun baru,IB,0
rindu rumah,IB,0
merayakan awal puasa bersama keluarga dan keluarga besar alumni sma.,IB,0
libur paskah,IB,0
libur lebaran,IB,0
menemui orang tua,IB,4
acara keluarga,IB,2
mencari data/survey lokasi untuk keperluan ta,IB,0
martumpol anggota keluarga kandung(kakak kandung),IB,0
acara keluarga dan mengantar anggota keluarga ke bandara silangit.,IB,0
exot clearance,IB,0
ib perdana dan bertemu orang tua,IB,4
libur natal dan tahun baru,IB,0
libur uas semester gasal 2019/2020,IB,0
pengumpulan data yang di perlukan untuk mata kuliah proyek akhir 1,IB,0
pembelajaran jarak jauh dan social distancing corona virus,IB,0
menemani dan membantu kakak yang sedang sakit di rumah sakit royal prima medan.,IB,0
libur nasional: natal dan tahun baru,IB,0
rindu rumah,IB,0
merayakan awal puasa bersama keluarga dan keluarga besar alumni sma.,IB,0
libur paskah,IB,0
libur lebaran,IB,0
menemui orang tua,IB,4
acara keluarga,IB,2
mencari data/survey lokasi untuk keperluan ta,IB,0
martumpol anggota keluarga kandung(kakak kandung),IB,0
acara keluarga dan mengantar anggota keluarga ke bandara silangit.,IB,0
exot clearance,IB,0
ib perdana dan bertemu orang tua,IB,4
libur natal dan tahun baru,IB,0
libur uas semester gasal 2019/2020,IB,0
pengumpulan data yang di perlukan untuk mata kuliah proyek akhir 1,IB,0
pembelajaran jarak jauh dan social distancing corona virus,IB,0
menemani dan membantu kakak yang sedang sakit di rumah sakit royal prima medan.,IB,0
libur nasional: natal dan tahun baru,IB,0
rindu rumah,IB,0
merayakan awal puasa bersama keluarga dan keluarga besar alumni sma.,IB,0
libur paskah,IB,0
libur lebaran,IB,0
menemui orang tua,IB,4
acara keluarga,IB,2
mencari data/survey lokasi untuk keperluan ta,IB,0
martumpol anggota keluarga kandung(kakak kandung),IB,0
acara keluarga dan mengantar anggota keluarga ke bandara silangit.,IB,0
exot clearance,IB,0
ib perdana dan bertemu orang tua,IB,4
libur natal dan tahun baru,IB,0
libur uas semester gasal 2019/2020,IB,0
pengumpulan data yang di perlukan untuk mata kuliah proyek akhir 1,IB,0
pembelajaran jarak jauh dan social distancing corona virus,IB,0
menemani dan membantu kakak yang sedang sakit di rumah sakit royal prima medan.,IB,0
libur nasional: natal dan tahun baru,IB,0
rindu rumah,IB,0
merayakan awal puasa bersama keluarga dan keluarga besar alumni sma.,IB,0
libur paskah,IB,0
libur lebaran,IB,0
menemui orang tua,IB,4
acara keluarga,IB,2
mencari data/survey lokasi untuk keperluan ta,IB,0
martumpol anggota keluarga kandung(kakak kandung),IB,0
acara keluarga dan mengantar anggota keluarga ke bandara silangit.,IB,0
exot clearance,IB,0
ib perdana dan bertemu orang tua,IB,4
libur natal dan tahun baru,IB,0
libur uas semester gasal 2019/2020,IB,0
pengumpulan data yang di perlukan untuk mata kuliah proyek akhir 1,IB,0
pembelajaran jarak jauh dan social distancing corona virus,IB,0
menemani dan membantu kakak yang sedang sakit di rumah sakit royal prima medan.,IB,0
libur nasional: natal dan tahun baru,IB,0
rindu rumah,IB,0
merayakan awal puasa bersama keluarga dan keluarga besar alumni sma.,IB,0
libur paskah,IB,0
libur lebaran,IB,0
menemui orang tua,IB,4
acara keluarga,IB,2
mencari data/survey lokasi untuk keperluan ta,IB,0
martumpol anggota keluarga kandung(kakak kandung),IB,0
acara keluarga dan mengantar anggota keluarga ke bandara silangit.,IB,0
exot clearance,IB,0
bertemu orangtua.,IB,1
libur natal dan tahun baru.,IB,0
libur semester,IB,0
pembelajaran jarak jauh.,IB,0
bertemu orang tua,IB,4
libur paskah,IB,0
libur lebaran,IB,0
bertemu orang tua,IB,4
bertemu orang tua,IB,4
exit clearence,IB,0
bertemu orangtua.,IB,1
libur natal dan tahun baru.,IB,0
libur semester,IB,0
pembelajaran jarak jauh.,IB,0
bertemu orang tua,IB,4
libur paskah,IB,0
libur lebaran,IB,0
bertemu orang tua,IB,4
bertemu orang tua,IB,4
exit clearence,IB,0
bertemu orangtua.,IB,1
libur natal dan tahun baru.,IB,0
libur semester,IB,0
pembelajaran jarak jauh.,IB,0
bertemu orang tua,IB,4
libur paskah,IB,0
libur lebaran,IB,0
bertemu orang tua,IB,4
bertemu orang tua,IB,4
exit clearence,IB,0
bertemu orangtua.,IB,1
libur natal dan tahun baru.,IB,0
libur semester,IB,0
pembelajaran jarak jauh.,IB,0
bertemu orang tua,IB,4
libur paskah,IB,0
libur lebaran,IB,0
bertemu orang tua,IB,4
bertemu orang tua,IB,4
exit clearence,IB,0
bertemu orangtua.,IB,1
libur natal dan tahun baru.,IB,0
libur semester,IB,0
pembelajaran jarak jauh.,IB,0
bertemu orang tua,IB,4
libur paskah,IB,0
libur lebaran,IB,0
bertemu orang tua,IB,4
bertemu orang tua,IB,4
exit clearence,IB,0
bertemu orangtua.,IB,1
libur natal dan tahun baru.,IB,0
libur semester,IB,0
pembelajaran jarak jauh.,IB,0
bertemu orang tua,IB,4
libur paskah,IB,0
libur lebaran,IB,0
bertemu orang tua,IB,4
bertemu orang tua,IB,4
exit clearence,IB,0
bertemu orangtua.,IB,1
libur natal dan tahun baru.,IB,0
libur semester,IB,0
pembelajaran jarak jauh.,IB,0
bertemu orang tua,IB,4
libur paskah,IB,0
libur lebaran,IB,0
bertemu orang tua,IB,4
bertemu orang tua,IB,4
exit clearence,IB,0
bertemu orangtua.,IB,1
libur natal dan tahun baru.,IB,0
libur semester,IB,0
pembelajaran jarak jauh.,IB,0
bertemu orang tua,IB,4
libur paskah,IB,0
libur lebaran,IB,0
bertemu orang tua,IB,4
bertemu orang tua,IB,4
exit clearence,IB,0
bertemu orangtua.,IB,1
libur natal dan tahun baru.,IB,0
libur semester,IB,0
pembelajaran jarak jauh.,IB,0
bertemu orang tua,IB,4
libur paskah,IB,0
libur lebaran,IB,0
bertemu orang tua,IB,4
bertemu orang tua,IB,4
exit clearence,IB,0
bertemu orangtua.,IB,1
libur natal dan tahun baru.,IB,0
libur semester,IB,0
pembelajaran jarak jauh.,IB,0
bertemu orang tua,IB,4
libur paskah,IB,0
libur lebaran,IB,0
bertemu orang tua,IB,4
bertemu orang tua,IB,4
exit clearence,IB,0
bertemu orangtua.,IB,1
libur natal dan tahun baru.,IB,0
libur semester,IB,0
pembelajaran jarak jauh.,IB,0
bertemu orang tua,IB,4
libur paskah,IB,0
libur lebaran,IB,0
bertemu orang tua,IB,4
bertemu orang tua,IB,4
exit clearence,IB,0
bertemu dengan orang tua,IB,4
libur natal,IB,0
libur semester,IB,0
menjumpai orang tua,IB,4
melakukan kegiatan pjj di rumah guna menghindari  covid 19,IB,0
ingin berjumpa dengan orang tua dan mengganti sebagian perlengkapan pribadi,IB,0
libur natal dan tahun baru,IB,0
ingin berjumpa dengan orang tua dan mengganti sebagian perlengkapan pribadi,IB,0
menghadiri awarding dan closing my digital academy by bank mandiri yang belokasi di jakarta,IB,0
ingin berjumpa dengan orang tua dan mengganti sebagian perlengkapan pribadi,IB,0
libur paskah,IB,0
libur hari raya idul fitri 1444 h,IB,0
libur idul adha dan bertemu orang tua,IB,0
bertemu dengan keluarga,IB,2
exit clearance,IB,0
bertemu dengan orang tua,IB,4
libur natal,IB,0
libur semester,IB,0
menjumpai orang tua,IB,4
melakukan kegiatan pjj di rumah guna menghindari  covid 19,IB,0
ingin berjumpa dengan orang tua dan mengganti sebagian perlengkapan pribadi,IB,0
libur natal dan tahun baru,IB,0
ingin berjumpa dengan orang tua dan mengganti sebagian perlengkapan pribadi,IB,0
menghadiri awarding dan closing my digital academy by bank mandiri yang belokasi di jakarta,IB,0
ingin berjumpa dengan orang tua dan mengganti sebagian perlengkapan pribadi,IB,0
libur paskah,IB,0
libur hari raya idul fitri 1444 h,IB,0
libur idul adha dan bertemu orang tua,IB,0
bertemu dengan keluarga,IB,2
exit clearance,IB,0
bertemu dengan orang tua,IB,4
libur natal,IB,0
libur semester,IB,0
menjumpai orang tua,IB,4
melakukan kegiatan pjj di rumah guna menghindari  covid 19,IB,0
ingin berjumpa dengan orang tua dan mengganti sebagian perlengkapan pribadi,IB,0
libur natal dan tahun baru,IB,0
ingin berjumpa dengan orang tua dan mengganti sebagian perlengkapan pribadi,IB,0
menghadiri awarding dan closing my digital academy by bank mandiri yang belokasi di jakarta,IB,0
ingin berjumpa dengan orang tua dan mengganti sebagian perlengkapan pribadi,IB,0
libur paskah,IB,0
libur hari raya idul fitri 1444 h,IB,0
libur idul adha dan bertemu orang tua,IB,0
bertemu dengan keluarga,IB,2
exit clearance,IB,0
bertemu dengan orang tua,IB,4
libur natal,IB,0
libur semester,IB,0
menjumpai orang tua,IB,4
melakukan kegiatan pjj di rumah guna menghindari  covid 19,IB,0
ingin berjumpa dengan orang tua dan mengganti sebagian perlengkapan pribadi,IB,0
libur natal dan tahun baru,IB,0
ingin berjumpa dengan orang tua dan mengganti sebagian perlengkapan pribadi,IB,0
menghadiri awarding dan closing my digital academy by bank mandiri yang belokasi di jakarta,IB,0
ingin berjumpa dengan orang tua dan mengganti sebagian perlengkapan pribadi,IB,0
libur paskah,IB,0
libur hari raya idul fitri 1444 h,IB,0
libur idul adha dan bertemu orang tua,IB,0
bertemu dengan keluarga,IB,2
exit clearance,IB,0
bertemu dengan orang tua,IB,4
libur natal,IB,0
